Program_Degree_Name,Program_Format,Dual_Degree,Dual_Name,Dual_Id,Program_Id,No. of semesters,Include_Summer,StudentGroups,Code,Notes on Semesters,Original sequence
MBA and MS in Business Analytics (Dual Degree),Full Time,Yes,MS in Business Analytics,140048010110019,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Business Analytics - Seeking Internships,MS in Business Analytics - New students",BABA,,17
MBA and MS in Business Analytics (Dual Degree),Part Time Flex,Yes,MS in Business Analytics,140048010110019,1000040101012,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Business Analytics - Seeking Internships,MS in Business Analytics - New students",BABA,,115
MBA and MS in Information Systems (Dual Degree),Full Time,Yes,MS in Information Systems,140048010110021,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Information Systems - Seeking Internships,MS in Information Systems - New students",BAIS,,98
MBA and MS in Information Systems (Dual Degree),Part Time Flex,Yes,MS in Information Systems,140048010110021,1000040101012,8,Yes,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Information Systems - Seeking Internships,MS in Information Systems - New students",BAIS,,109
MBA and MS in Marketing Analytics (Dual Degree),Full Time,Yes,MS in Marketing Analytics,140048010110022,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Marketing Analytics - Seeking Internships,MS in Marketing Analytics - New students",BAMA,,97
MBA and MS in Marketing Analytics (Dual Degree),Part Time Flex,Yes,MS in Marketing Analytics,140048010110022,1000040101012,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Marketing Analytics - Seeking Internships,MS in Marketing Analytics - New students",BAMA,,108
MBA and MS in Supply Chain Management (Dual Degree),Full Time,Yes,MS in Supply Chain Management,140048010110024,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Supply Chain Management - New students,MS in Supply Chain Management - Seeking Internships",BASC,,101
MBA and MS in Supply Chain Management (Dual Degree),Part Time Flex,Yes,MS in Supply Chain Management,140048010110024,1000040101012,8,Yes,"Flex MBA - Current students,MS in Supply Chain Management - New students,MS in Supply Chain Management - Seeking Internships",BASC,,110
Full-time MBA,Full Time,No,,,1000040101001,4,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BMBA,,12
Flex MBA,Part Time Flex,No,,,1000040101012,6,Yes,Flex MBA - Current students,BMBA,"Default to 6 semesters.  In practice, it can be more or less, and varies widely.",36
Online Master of Science in Business Analytics,Online,No,,,,,,,,(WE DON'T ADD THESE to HS; they're removed from the ERx file before processing.),96
Online Master of Science in Management Studies,Online,No,,,,,,,,(WE DON'T ADD THESE to HS; they're removed from the ERx file before processing.),99
Online MBA,Online,No,,,1000040101011,6,Yes,Online MBA - Current students,OMBA,"Default to 4 semesters.  In practice, it can be more.",31
Online MBA,Part Time Flex,No,,,1000040101011,6,Yes,Online MBA - Current students,OMBA,"Default to 4 semesters.  In practice, it can be more.",31
"Quantitative Finance (BMQF), M.Quant.Fin.",Full Time,No,,,1000040101009,4,No,"Master of Quantitative Finance - Seeking Internships,Master of Quantitative Finance - New students",BMQF,"Some students complete in 3 semesters, but we initially assume 4.",10
"Quantitative Finance (BMQF), M.Quant.Fin.",Full Time,No,,,1000040101009,4,No,"Master of Quantitative Finance - Seeking Internships,Master of Quantitative Finance - New students",BMQF,"Some students complete in 3 semesters, but we initially assume 4.",58
"Quantitative Finance (BMQF), M.Quant.Fin.",,No,,,1000040101009,4,No,"Master of Quantitative Finance - Seeking Internships,Master of Quantitative Finance - New students",BMQF,"Some students complete in 3 semesters, but we initially assume 4.",73
"Quantitative Finance (BMQF), M.Quant.Fin. (Combined with Bachelor's)",Full Time,No,,,1000040101009,2,No,"Master of Quantitative Finance - Seeking Internships,Master of Quantitative Finance - New students",BMQF,,87
"Supply Chain Management (BMSC), M.S.",Full Time,No,,,1000040101010,3,No,"MS in Supply Chain Management - Seeking Internships,MS in Supply Chain Management - New students",BMSC,"Some students complete in 2 semesters, but we initially assume 3.",11
"Supply Chain Management (BMSC), M.S.",Full Time,No,,,1000040101010,3,No,"MS in Supply Chain Management - Seeking Internships,MS in Supply Chain Management - New students",BMSC,"Some students complete in 2 semesters, but we initially assume 3.",60
"Supply Chain Management (BMSC), M.S.",,No,,,1000040101010,3,No,"MS in Supply Chain Management - Seeking Internships,MS in Supply Chain Management - New students",BMSC,"Some students complete in 2 semesters, but we initially assume 3.",75
"Supply Chain Management (BMSC), M.S. (Combined with Bachelor's)",Full Time,No,,,1000040101010,2,No,"MS in Supply Chain Management - Seeking Internships,MS in Supply Chain Management - New students",BMSC,"Some students complete in 2 semesters, but we initially assume 3.",81
